,000750.SZ,000987.SZ,000997.SZ,002647.SZ,002657.SZ,002670.SZ,002721.SZ,002987.SZ,300033.SZ,300059.SZ,300085.SZ,300130.SZ,300180.SZ,300348.SZ,300377.SZ,300380.SZ,300465.SZ,300468.SZ,300541.SZ,300542.SZ,300561.SZ,300663.SZ,300674.SZ,300803.SZ,300941.SZ,300996.SZ,600446.SH,600570.SH,600906.SH,600928.SH,601059.SH,601788.SH,603093.SH,603123.SH,603171.SH,603927.SH,688318.SH,688590.SH
300803.SZ,0.7257,0.0109,0.1841,0.1667,0.0334,-0.0117,0.0369,0.0809,0.5291,0.2068,0.1133,0.0582,0.0071,0.0378,0.1343,0.1235,0.2165,0.0278,0.0175,0.1927,0.0308,0.1684,0.1174,1.0,0.0358,0.0423,0.0952,0.6991,0.373,0.0649,0.0305,0.2206,0.5272,0.0139,0.013,0.0388,0.3351,0.0331
300941.SZ,0.0738,0.0025,0.7053,0.7394,0.0159,-0.0026,0.1275,0.0282,0.0447,0.0329,0.0088,0.4598,0.0118,0.218,0.0417,-0.0006,-0.0247,-0.0056,0.0445,-0.0018,0.0917,0.1025,0.0002,0.0358,1.0,0.0188,0.0017,0.1252,0.1064,-0.0172,-0.0098,0.0668,0.0162,0.7305,0.0198,0.0379,0.0535,0.0461
300996.SZ,0.0118,0.2716,0.061,0.0805,0.1445,0.2724,0.3661,0.2747,0.2523,0.2684,0.1898,0.0848,0.4191,0.3357,0.4305,0.0596,0.014,0.2234,0.1724,0.2159,0.1086,0.2084,0.1997,0.0423,0.0188,1.0,0.27,0.1317,0.2383,0.1382,0.0073,0.1744,0.1753,0.0736,0.2212,0.0652,0.3125,0.2515
600446.SH,0.081,0.7856,0.0132,0.0351,0.3566,0.6642,0.7509,0.6742,0.6608,0.7008,0.1065,0.0374,0.306,0.6535,0.7066,0.0409,0.0176,0.2465,0.3741,0.4182,0.1981,0.467,0.3574,0.0952,0.0017,0.27,1.0,0.3037,0.3757,0.0415,-0.0004,0.4083,0.5166,0.0267,0.5505,0.0788,0.5383,0.5643
600570.SH,0.6594,0.2409,0.0005,0.2621,0.1359,0.229,0.3281,0.2454,0.7067,0.3428,0.1045,0.0787,0.1018,0.2347,0.3565,0.067,0.0315,0.0919,0.1628,0.149,0.0933,0.3594,0.1409,0.6991,0.1252,0.1317,0.3037,1.0,0.4861,0.1166,0.0557,0.4482,0.6017,0.0685,0.2036,0.1316,0.4804,0.274
600906.SH,0.2786,0.3654,0.077,0.3628,0.1818,0.2891,0.3623,0.3109,0.5014,0.3354,0.0509,0.1901,0.3381,0.4272,0.3633,0.0528,0.002,0.5237,0.1623,0.1886,0.1465,0.3532,0.1605,0.373,0.1064,0.2383,0.3757,0.4861,1.0,0.4163,0.0245,0.5356,0.3904,0.0219,0.274,0.0825,0.4234,0.2855
600928.SH,0.005,0.1384,0.0525,0.2116,0.0291,0.0382,0.0332,0.0115,0.0842,0.013,0.0402,0.2526,0.1817,0.1727,0.0427,0.551,0.5301,0.3866,0.0186,0.1051,0.0356,0.1454,0.4736,0.0649,-0.0172,0.1382,0.0415,0.1166,0.4163,1.0,0.1214,0.1488,0.0347,0.0079,0.0817,0.0227,0.1071,0.0533
601059.SH,0.0064,-0.015,-0.0211,0.0501,0.0259,0.0165,0.0115,0.0346,0.0652,0.0216,-0.001,0.644,-0.0071,0.1862,0.0251,0.0199,0.0087,-0.0072,-0.0096,0.0106,0.0416,0.031,0.0174,0.0305,-0.0098,0.0073,-0.0004,0.0557,0.0245,0.1214,1.0,0.0749,0.0393,0.0044,0.0255,0.0502,0.2779,0.1874
601788.SH,-0.0166,0.4405,0.0382,0.2932,0.2324,0.394,0.4722,0.3746,0.4933,0.4298,0.0374,0.0712,0.1808,0.4073,0.4731,0.0564,0.0217,0.1809,0.2141,0.2576,0.1685,0.4207,0.193,0.2206,0.0668,0.1744,0.4083,0.4482,0.5356,0.1488,0.0749,1.0,0.2932,0.0995,0.3483,0.0724,0.4659,0.3603
603093.SH,0.574,0.5307,-0.0111,0.0515,0.2436,0.4118,0.444,0.3621,0.7153,0.5242,0.1349,0.0491,0.1947,0.402,0.5531,0.0418,0.0357,0.1336,0.2513,0.2905,0.1182,0.3726,0.2069,0.5272,0.0162,0.1753,0.5166,0.6017,0.3904,0.0347,0.0393,0.2932,1.0,0.0647,0.3566,0.0888,0.4488,0.3074
603123.SH,-0.0015,0.0235,0.758,0.5654,0.0497,0.0366,0.0935,0.0196,0.0419,0.0804,0.0226,0.5012,0.0135,0.2664,0.075,0.1312,0.0338,0.0566,0.0612,0.0778,0.0562,0.0685,0.0741,0.0139,0.7305,0.0736,0.0267,0.0685,0.0219,0.0079,0.0044,0.0995,0.0647,1.0,0.0459,0.0665,0.074,0.1152
603171.SH,-0.0011,0.5499,0.0101,0.0563,0.3498,0.4985,0.5385,0.4862,0.4669,0.5037,0.0713,0.0523,0.2444,0.5515,0.5371,0.0183,0.0267,0.1928,0.282,0.3425,0.1697,0.3529,0.2953,0.013,0.0198,0.2212,0.5505,0.2036,0.274,0.0817,0.0255,0.3483,0.3566,0.0459,1.0,0.2803,0.4982,0.4843
603927.SH,0.0718,0.0588,0.0285,0.05,0.1338,0.0722,0.0768,0.1596,0.1281,0.1324,0.0441,0.0557,0.131,0.1091,0.1143,0.0797,0.0468,0.0966,0.458,0.0883,0.0562,0.4526,0.0559,0.0388,0.0379,0.0652,0.0788,0.1316,0.0825,0.0227,0.0502,0.0724,0.0888,0.0665,0.2803,1.0,0.1265,0.2835
688318.SH,0.2526,0.4744,0.0361,0.1834,0.2544,0.4722,0.5569,0.4698,0.653,0.5328,0.1483,0.2877,0.247,0.5601,0.547,0.0835,0.1153,0.2136,0.3304,0.3119,0.1831,0.4319,0.2392,0.3351,0.0535,0.3125,0.5383,0.4804,0.4234,0.1071,0.2779,0.4659,0.4488,0.074,0.4982,0.1265,1.0,0.5727
688590.SH,0.0162,0.5361,0.026,0.1452,0.4283,0.5181,0.5824,0.5373,0.4902,0.5265,0.2374,0.1942,0.283,0.6289,0.5527,0.0632,0.0492,0.3174,0.3379,0.4676,0.376,0.4439,0.2698,0.0331,0.0461,0.2515,0.5643,0.274,0.2855,0.0533,0.1874,0.3603,0.3074,0.1152,0.4843,0.2835,0.5727,1.0
