segment,n,研发章节披露率,有AI披露公司占比,ai_depth_2025,ai_breadth_2025,ai_density_2025,ai_product_lines_2025,rd_intensity_pct,rd_amount_2025_yi,depth_2024,breadth_2024,组内最强公司主方向
互联网金融信息,5,100.0,80.0,9.5,3.4,17.453,1.6,15.788,5.294,6.574,3.333,大模型与生成式AI
信托,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,—
其他,6,83.3,50.0,3.0,0.833,6.603,0.833,5.75,0.744,1.232,2.0,大模型与生成式AI
其他金融,1,100.0,100.0,1.0,1.0,3.185,1.0,0.09,0.007,,,智能决策与预测
支付与商户服务,4,75.0,100.0,1.875,1.25,17.711,2.5,6.907,3.243,0.395,1.0,计算机视觉
期货,1,0.0,100.0,0.0,0.0,17.361,0.0,,,,,—
证券,19,36.8,10.5,0.316,0.158,0.865,0.211,2.017,1.609,0.486,1.2,大模型与生成式AI
金融IT服务商,20,50.0,60.0,6.375,1.65,10.043,0.9,16.81,4.689,3.033,2.5,大模型与生成式AI
银行,1,0.0,0.0,0.0,0.0,0.0,0.0,,,0.366,1.0,—
